text,label
Invoice: voice training supplied by Beta Solutions. Total: 152000 INR.","invoice"
"Invoice: gym equipment supplied by Gamma Tech. Total: 320000 INR.","invoice"
"Invoice: analytics dashboard supplied by Delta Services. Total: 66400 INR.","invoice"
"Invoice: storage servers supplied by Alpha Corp. Total: 18000 INR.","invoice"
"Invoice: tech support supplied by Beta Solutions. Total: 6900 INR.","invoice"
"Invoice: brochure design supplied by Gamma Tech. Total: 278500 INR.","invoice"
"Invoice: IT hardware supplied by Delta Services. Total: 75000 INR.","invoice"
"Invoice: voice training supplied by Alpha Corp. Total: 152000 INR.","invoice"
"Invoice: gym equipment supplied by Beta Solutions. Total: 320000 INR.","invoice"
"Invoice: analytics dashboard supplied by Gamma Tech. Total: 66400 INR.","invoice"
"Invoice No: INV-2345 Date: 2024-05-12 Supplier: ACME Pvt Ltd Amount Due: 15,640 INR",invoice
"Invoice generated for purchase order PO-445. Total billed amount: 9,880 INR. Due date: 2025-01-15",invoice
"Payment Invoice - Vendor: Omega Traders. Items: 12 units. Net Payable: 45,210 INR",invoice
"ACME Corp Invoice. Billing cycle: Monthly Subscription Fee 2,999 INR. GST: 18%",invoice
"Purchase Invoice: Laptop and peripherals. Total: 78,400 INR. Customer ID: 88772",invoice
"Billing Invoice for Maintenance Services. Total Charges: 12,450 INR. Pay before 10th June",invoice
"Service Invoice No 7788 raised for electrical repairs. Labor cost and service tax included.",invoice
"Tax Invoice. Seller: TechMart Pvt Ltd. Amount Payable: 32,900 INR. GSTIN: 27ABCDE2211F1",invoice
"Invoice for consultancy service. Hours billed: 18. Total: 22,500 INR",invoice
"Invoice #9921 for cloud hosting charges for Q1. Payment terms: NET30",invoice
"Tax Invoice: Vendor Apex Systems. Invoice ID INV-11201. Total Amount: 48,230 INR due on 15 Aug 2025.",invoice
"Invoice for website development services. Hours billed: 36. Net payable: 54,000 INR.",invoice
"Invoice Statement – Subscription renewal for cloud services. Amount: 12,999 INR.",invoice
"Invoice No 7765: Purchase of office desks. Qty: 8. Total: 96,000 INR.",invoice
"Service Invoice for AC maintenance. Total bill: 4,750 INR including GST.",invoice
"Purchase Invoice: Graphics Cards (3 units). Total 1,20,000 INR. Supplier Code: GFX-22.",invoice
"Billing Invoice – Annual software license. Net amount: 18,400 INR.",invoice
"Invoice: Freelance Content Writing. Words: 8,000. Payable: 6,400 INR.",invoice
"Invoice for network installation. Labor + wiring charges: 22,500 INR.",invoice
"Invoice Document: Catering services for corporate event. Total: 37,000 INR.",invoice
"Invoice #8209: Printer cartridges and toners. Amount: 8,780 INR.",invoice
"Tax Invoice for security surveillance system setup. Gross: 1,45,000 INR.",invoice
"Billing Invoice for project consulting. Hours: 12. Total Fee: 18,000 INR.",invoice
"Invoice: Logo design + brand kit creation. Payable: 15,300 INR.",invoice
"Invoice – Transport services for goods delivery. Charges: 9,250 INR.",invoice
"Purchase Invoice: Monitors (5 units). Total Cost: 55,500 INR including tax.",invoice
"Invoice for marketing campaign execution. Total billed: 82,000 INR.",invoice
"Subscription Invoice for accounting software. Annual fee: 9,999 INR.",invoice
"Invoice: Photography and videography services for conference. Total: 42,600 INR.",invoice
"Invoice #9932 for content moderation services provided in June. Amount: 28,000 INR.",invoice
"Invoice for web hosting plan. Duration: 1 year. Total Due: 4,500 INR.",invoice
"Service Invoice – Digital ads management fee: 32,800 INR.",invoice
"Invoice No. 44321 for laptop servicing. Total: 2,450 INR.",invoice
"Tax Invoice: Industrial electrical setup. Grand Total: 2,40,000 INR.",invoice
